message,label
"Congratulations! You've won a $1000 Walmart gift card.",spam
"Hey, are we still meeting for lunch tomorrow?",ham
"Get a loan approved in minutes, no credit check required.",spam
"Don't forget about the meeting at 3 PM.",ham
"URGENT! Your account has been compromised. Click here to secure it.",spam
"Can you send me the report by end of the day?",ham
"Win a brand new car just by signing up!",spam
"Let's catch up over coffee this weekend.",ham
"Lowest prices on medications. Order now!",spam
"Are you coming to the party tonight?",ham
"Earn money from home with this one simple trick.",spam
"Please review the attached document.",ham
"You have been selected for a chance to get a free iPhone.",spam
"Reminder: Your dentist appointment is tomorrow.",ham
"Exclusive deal: Get 50% off on all products!",spam
"Don't forget to submit your timesheet.",ham
"Free vacation! Click to claim your prize.",spam
"Can we reschedule our meeting to next week?",ham
"Your account statement is ready for viewing.",ham
"Act now! Limited time offer on all electronics.",spam
"Can you help me with my homework?",ham
"New weight loss solution - try for free.",spam
"Your order has been shipped.",ham
"Congratulations! You've been pre-approved for a loan.",spam
"Please let me know if you're available for a call.",ham
"Special promotion: Buy one get one free.",spam
"Don't forget to bring the documents to the meeting.",ham
"Win big in our lottery. Enter now!",spam
"Can you pick up some groceries on your way home?",ham
"Get your free trial of our premium service today.",spam
"Meeting has been rescheduled to 4 PM.",ham
"You've been chosen to receive a special offer.",spam
"Thank you for your purchase.",ham
"Click here to learn how to make money quickly.",spam
"Just checking in to see how you're doing.",ham
"Urgent: Update your billing information.",spam
"Let's go for a hike this weekend.",ham
"Your subscription is about to expire. Renew now.",spam
"Are you free for a call this afternoon?",ham
"Claim your free gift card now!",spam
"Please find the agenda for tomorrow's meeting attached.",ham
"Win a free cruise to the Bahamas.",spam
"Can you confirm your attendance for the workshop?",ham
"Get rich quick with our easy program.",spam
"Don't forget to update the project status.",ham
"Congratulations! You have won a free trip.",spam
"Are you available to help with the event?",ham
"Special offer just for you: Save 70% on your next purchase.",spam
"Let's schedule a time to discuss the project.",ham
"You're eligible for a free upgrade.",spam
"Thank you for your feedback.",ham
"Make money fast with no effort!",spam
"Please join us for the webinar.",ham
"Last chance to claim your prize!",spam
"Can you send me the latest version of the document?",ham
"Congratulations! You've won a free gift card.",spam
"Are you attending the conference next week?",ham
"Get instant approval for a credit card now.",spam
"Looking forward to our meeting tomorrow.",ham
"Exclusive offer: Get 75% off on all items.",spam
"Please review and approve the attached document.",ham
"Win cash prizes every week. Enter now!",spam
"Can we meet to discuss the project details?",ham
"Limited time offer: Buy now and save big.",spam
"Don't forget to update your contact information.",ham
"Congratulations! You've been selected for a special offer.",spam
"Thank you for your prompt response.",ham
"Get rich overnight with our proven method.",spam
"Please let me know if you need any further assistance.",ham
"Free trial of our new product. Click to learn more.",spam
"Are you coming to the team meeting?",ham
"Urgent: Verify your account details now.",spam
"Can you review the attached file and provide feedback?",ham
"Congratulations! You've won a $500 Amazon gift card.",spam
"Don't forget to check the schedule for next week.",ham
"Act fast! Limited stock available.",spam
"Can you call me when you have a moment?",ham
"Exclusive deal: Get 40% off on all purchases.",spam
"Thank you for your cooperation.",ham
"Make thousands of dollars from home!",spam
"Please RSVP for the event by end of the day.",ham
"Win a $1000 shopping spree. Enter now.",spam
"Are you free for a quick chat?",ham
"Special promotion: Save 30% on your next order.",spam
"Don't forget to complete your timesheet.",ham
"Get a personal loan with low interest rates.",spam
"Can we discuss the new project timeline?",ham
"Congratulations! You've been approved for a credit card.",spam
"Please find the meeting minutes attached.",ham
"Act now and save 50% on your purchase.",spam
"Are you available for a meeting tomorrow?",ham
"Earn money easily with our affiliate program.",spam
"Thank you for your assistance.",ham
"Get your free sample today.",spam
"Can you send me the updated file?",ham
"Win big with our online casino games.",spam
"Let's catch up for lunch next week.",ham
"Limited time offer: Get 60% off on all items.",spam
"Please let me know if you have any questions.",ham
"Congratulations! You've won a free iPad.",spam
"Are you coming to the office tomorrow?",ham
"Get approved for a loan in minutes.",spam
"Thank you for the update.",ham
"Act fast to claim your free gift.",spam
"Can we reschedule our call to next week?",ham
"Special offer: Buy one get one free.",spam
"Don't forget to submit your expense report.",ham
"Congratulations! You've won a free MacBook.",spam
"Are you available for a call this evening?",ham
"Get rich quick with our new program.",spam
"Please find the attached report for your review.",ham
"Limited time offer: Save 80% on your purchase.",spam
"Are you attending the team meeting tomorrow?",ham
"Earn extra income from home.",spam
"Thank you for your support.",ham
"Get your free trial now.",spam
"Can you help me with the presentation?",ham
"Win a $500 gift card just by signing up.",spam
"Let's plan for the next phase of the project.",ham
"Exclusive deal: Save 50% on all orders.",spam
"Don't forget to check your email for updates.",ham
"Get approved for a credit card instantly.",spam
"Can you send me the details of the project?",ham
"Congratulations! You've won a trip to Hawaii.",spam
"Please review the attached proposal.",ham
"Act now to claim your free trial.",spam
"Are you available for a quick call?",ham
"Special offer: Save 40% on your next purchase.",spam
"Don't forget to update your profile.",ham
"Earn money fast with our proven system.",spam
"Thank you for your quick response.",ham
"Get a free sample of our new product.",spam
"Can you confirm your availability for the meeting?",ham
"Win big with our sweepstakes. Enter now.",spam
"Let's touch base tomorrow.",ham
"Limited time offer: Buy one get one half off.",spam
"Please let me know if you need any assistance.",ham
"Congratulations! You've won a $100 gift card.",spam
"Are you free for lunch tomorrow?",ham
"Get rich with our no-risk investment.",spam
"Thank you for your time.",ham
"Act fast to get a special discount.",spam
"Can we discuss the budget for the project?",ham
"Special promotion: Save 25% on your next order.",spam
"Don't forget to submit the report.",ham
"Win a free laptop just by signing up.",spam
"Are you available for a meeting next week?",ham
"Earn thousands of dollars with our program.",spam
"Thank you for the information.",ham
"Get a free trial of our premium service.",spam
"Can you send me the revised document?",ham
"Win big prizes with our daily lottery.",spam
"Let's meet to discuss the project details.",ham
"Limited time offer: Save 70% on all items.",spam
"Please review the attached invoice.",ham
"Get instant approval for a credit card.",spam
"Are you attending the event next week?",ham
"Congratulations! You've been selected for a special offer.",spam
"Don't forget to check the latest updates.",ham
"Earn money quickly with our system.",spam
"Thank you for your understanding.",ham
"Get a free sample now.",spam
"Can you help me with the project?",ham
"Win a $1000 gift card just by signing up.",spam
"Let's catch up over coffee.",ham
"Exclusive deal: Save 50% on all products.",spam
"Don't forget to review the attached file.",ham
"Get approved for a loan in minutes.",spam
"Are you free for a quick call tomorrow?",ham
"Act fast to claim your free gift.",spam
"Please let me know if you need any further information.",ham
"Special offer: Buy one get one free.",spam
"Don't forget to complete the survey.",ham
"Congratulations! You've won a free iPhone.",spam
"Are you available for a call this afternoon?",ham
"Get rich quick with our proven method.",spam
"Please find the attached document for your review.",ham
"Limited time offer: Save 80% on all items.",spam
"Are you attending the meeting tomorrow?",ham
"Earn extra income from home.",spam
"Thank you for your help.",ham
"Get your free trial now.",spam
"Can you help me with the presentation?",ham
"Win a $500 gift card just by signing up.",spam
"Let's plan for the next phase of the project.",ham
"Exclusive deal: Save 50% on all orders.",spam
"Don't forget to check your email for updates.",ham
"Get approved for a credit card instantly.",spam
"Can you send me the details of the project?",ham
"Congratulations! You've won a trip to Hawaii.",spam
"Please review the attached proposal.",ham
"Act now to claim your free trial.",spam
"Are you available for a quick call?",ham
